Tag,ChemicalName,SMILES,MW (g/mol),logP,carboxyl (mmol/g),carboxylate (mmol/g),hydroxyl (mmol/g),ether (mmol/g),ester (mmol/g),epoxy (mmol/g),amide (mmol/g),cyano (mmol/g),amine (mmol/g),ammonium (mmol/g),phenyl (mmol/g),methyl (mmol/g),methylene (mmol/g),methyne (mmol/g),quat_carbon (mmol/g),vinyl (mmol/g),asetylene (mmol/g),siloxane (mmol/g)
MMA,methyl methacrylate,CC(=C)C(=O)OC,100.117,0.7355,0.0,0.0,0.0,0.0,9.988313673002589,0.0,0.0,0.0,0.0,0.0,0.0,19.976627346005177,0.0,0.0,0.0,9.988313673002589,0.0,0.0
BMA,butyl methacrylate,CCCCOC(=O)C(=C)C,142.19799999999998,1.9058,0.0,0.0,0.0,0.0,7.0324477137512496,0.0,0.0,0.0,0.0,0.0,0.0,14.0648954275025,21.09734314125375,0.0,0.0,7.0324477137512496,0.0,0.0
IBXMA,iBMA,CC(=C)C(=O)OC1CC2CCC1(C2(C)C)C,222.32799999999995,3.320500000000002,0.0,0.0,0.0,0.0,4.497859019106906,0.0,0.0,0.0,0.0,0.0,0.0,17.991436076427625,13.49357705732072,8.995718038213813,8.995718038213813,4.497859019106906,0.0,0.0
2EHMA,2 ethylhexyl methacrylate,CCCCC(CC)COC(=O)C(=C)C,198.30599999999995,3.3221000000000016,0.0,0.0,0.0,0.0,5.042711768680727,0.0,0.0,0.0,0.0,0.0,0.0,15.12813530604218,25.21355884340364,5.042711768680727,0.0,5.042711768680727,0.0,0.0
iBA,isobutyl acrylate,CC(C)COC(=O)C=C,128.17099999999996,1.3716000000000002,0.0,0.0,0.0,0.0,7.80207691287421,0.0,0.0,0.0,0.0,0.0,0.0,15.60415382574842,7.80207691287421,7.80207691287421,0.0,7.80207691287421,0.0,0.0
HPMA,HPMA,CC(COC(=O)C(=C)C)O,144.17,0.4865,0.0,0.0,6.9362558091142406,0.0,6.9362558091142406,0.0,0.0,0.0,0.0,0.0,0.0,13.87251161822848,6.9362558091142406,6.9362558091142406,0.0,6.9362558091142406,0.0,0.0
HEMA,HEMA,CC(=C)C(=O)OCCO,130.143,0.098,0.0,0.0,7.68385545131125,0.0,7.68385545131125,0.0,0.0,0.0,0.0,0.0,0.0,7.68385545131125,15.3677109026225,0.0,0.0,7.68385545131125,0.0,0.0
AA,acrylic acid,C=CC(=O)O,72.06299999999999,0.2569999999999999,13.876746735495333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.876746735495333,0.0,0.0
GMA,gma,CC(=C)C(=O)OCC1CO1,142.154,0.5045000000000001,0.0,0.0,0.0,0.0,7.034624421402142,7.034624421402142,0.0,0.0,0.0,0.0,0.0,7.034624421402142,14.069248842804283,7.034624421402142,0.0,7.034624421402142,0.0,0.0
DM,dimethylaminoethyl methacrylate,CC(=C)C(=O)OCCN(C)C,157.213,0.6673,0.0,0.0,0.0,0.0,6.360797135096971,0.0,0.0,0.0,6.360797135096971,0.0,0.0,19.082391405290913,12.721594270193942,0.0,0.0,6.360797135096971,0.0,0.0
SMA,stearyl methacrylate,CCCCCCCCCCCCCCCCCCOC(=O)C(=C)C,338.576,7.3672000000000075,0.0,0.0,0.0,0.0,2.9535466187798307,0.0,0.0,0.0,0.0,0.0,0.0,5.907093237559661,50.21029251925712,0.0,0.0,2.9535466187798307,0.0,0.0
EMA,ethyl methacrylate,CCOC(=O)C(=C)C,114.14399999999999,1.1256000000000002,0.0,0.0,0.0,0.0,8.760863470703674,0.0,0.0,0.0,0.0,0.0,0.0,17.521726941407348,8.760863470703674,0.0,0.0,8.760863470703674,0.0,0.0
